City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Quartucciu,IT,39.25,9.18,77.25,67,20,11.99,Few Clouds
183,Aranos,NA,-24.13,19.12,73.54,21,95,11.9,Overcast Clouds
184,Prescott,US,34.54,-112.47,93.96,28,5,1.99,Clear Sky
185,Ghanzi,BW,-21.57,21.78,64.74,36,0,10.87,Clear Sky
186,Pierre,US,44.37,-100.35,93.85,30,0,5.01,Clear Sky
187,Lazaro Cardenas,MX,17.96,-102.2,86.85,64,97,8.61,Overcast Clouds
188,Bambous Virieux,MU,-20.34,57.76,64.65,88,20,4.61,Few Clouds
189,Hobyo,SO,5.35,48.53,75.69,87,54,21.18,Broken Clouds
190,Saskylakh,RU,71.92,114.08,39.72,96,100,12.86,Light Rain
191,Vanimo,PG,-2.67,141.3,76.53,90,86,4.21,Overcast Clouds
192,Sobolevo,RU,54.43,31.9,53.62,55,98,9.37,Overcast Clouds
193,Khorixas,NA,-20.37,14.97,63.79,49,8,5.59,Clear Sky
194,Russell,US,32.35,-85.2,92.97,49,0,8.05,Clear Sky
195,Severo-Kurilsk,RU,50.68,156.12,55.17,77,100,3.87,Overcast Clouds
196,Bergama,TR,39.12,27.18,73.0,76,0,3.8,Clear Sky
197,Baykit,RU,61.67,96.37,40.46,94,100,9.84,Light Rain
198,Salalah,OM,17.02,54.09,77.09,88,20,2.3,Few Clouds
199,Hazleton,US,40.96,-75.97,79.03,43,40,0.0,Scattered Clouds
200,Krasne,UA,49.91,24.61,55.76,60,99,6.04,Overcast Clouds
201,Gunzburg,DE,48.45,10.27,61.84,86,52,2.64,Broken Clouds
202,Victoria Point,AU,-27.58,153.3,59.43,93,46,7.56,Scattered Clouds
203,Tessaoua,NE,13.76,7.99,80.06,56,100,15.48,Light Rain
204,Fairlie,GB,55.76,-4.86,60.71,79,92,1.01,Overcast Clouds
205,Ostersund,SE,63.18,14.64,48.65,76,0,51.0,Clear Sky
206,Alto Longa,BR,-5.25,-42.21,95.85,24,42,7.09,Scattered Clouds
207,La Ligua,CL,-32.45,-71.23,55.15,77,100,5.84,Overcast Clouds
208,Magistralnyy,RU,56.17,107.45,56.55,86,100,11.07,Light Rain
209,Alyangula,AU,-13.85,136.42,73.53,89,0,7.31,Clear Sky
210,Poquoson,US,37.12,-76.35,91.04,48,75,8.05,Broken Clouds
211,Torbay,CA,47.67,-52.73,77.88,72,75,12.66,Broken Clouds
212,Kichera,RU,55.94,110.1,47.37,98,100,4.99,Light Rain
213,Usinsk,RU,65.99,57.53,38.19,71,28,8.55,Scattered Clouds
214,Tiksi,RU,71.69,128.87,39.09,97,73,5.19,Broken Clouds
215,Palauig,PH,15.44,119.9,81.52,81,89,0.87,Light Rain
216,Saint Anthony,US,45.02,-93.22,89.89,41,0,10.36,Clear Sky
217,Faya,SA,18.39,42.45,71.71,33,16,7.18,Few Clouds
218,Husavik,IS,66.04,-17.34,59.29,62,98,25.3,Overcast Clouds
219,Mangrol,IN,21.12,70.12,80.4,84,100,11.65,Moderate Rain
220,Lawton,US,34.61,-98.39,91.31,52,40,13.8,Scattered Clouds
221,Dunedin,NZ,-45.87,170.5,52.81,85,35,3.11,Scattered Clouds
222,Chuy,UY,-33.7,-53.46,62.56,72,77,8.19,Broken Clouds
223,Aykhal,RU,66.0,111.5,37.44,99,100,4.23,Light Rain
224,Lorengau,PG,-2.02,147.27,80.87,82,82,9.64,Broken Clouds
225,Valenca Do Piaui,BR,-6.41,-41.75,90.25,27,57,10.31,Broken Clouds
226,Kokopo,PG,-4.35,152.26,76.26,85,76,2.48,Broken Clouds
227,Berlevag,NO,70.86,29.09,44.55,76,75,11.5,Broken Clouds
228,Cabo San Lucas,MX,22.89,-109.91,91.71,51,75,11.5,Broken Clouds
229,Sarangani,PH,5.4,125.46,82.62,73,97,1.61,Overcast Clouds
230,Kodiak,US,57.79,-152.41,54.91,94,100,10.36,Light Rain
231,Camacha,PT,33.08,-16.33,69.22,68,40,11.5,Scattered Clouds
232,Goderich,CA,43.75,-81.72,75.52,60,43,11.5,Scattered Clouds
233,Visby,SE,57.64,18.3,52.02,87,40,5.75,Scattered Clouds
234,Rocha,UY,-34.48,-54.33,62.91,75,100,6.15,Overcast Clouds
235,Belyy Yar,RU,53.6,91.39,60.69,63,0,4.47,Clear Sky
236,Santa Maria Do Suacui,BR,-18.19,-42.41,68.4,44,16,7.36,Few Clouds
237,Mayskiy,RU,47.69,40.1,72.81,38,21,11.99,Few Clouds
238,Reitz,ZA,-27.8,28.43,46.53,29,25,8.21,Scattered Clouds
239,Isla Mujeres,MX,21.23,-86.73,80.65,66,68,10.49,Broken Clouds
240,Tautira,PF,-17.73,-149.15,77.31,72,0,18.23,Clear Sky
241,Sharjah,AE,25.36,55.4,91.38,70,0,5.75,Clear Sky
242,Plavsk,RU,53.71,37.29,53.08,72,16,5.1,Few Clouds
243,Luderitz,NA,-26.65,15.16,57.67,79,3,6.04,Clear Sky
244,Hobart,AU,-42.88,147.33,51.26,79,20,5.75,Few Clouds
245,Lata,PT,40.16,-8.33,65.8,91,5,2.86,Clear Sky
246,Sakyla,FI,61.03,22.33,46.89,88,60,6.8,Broken Clouds
247,Chumikan,RU,54.72,135.31,52.16,89,44,4.18,Scattered Clouds
248,Colinas,BR,-6.03,-44.25,95.31,24,20,6.49,Few Clouds
249,Port Macquarie,AU,-31.43,152.92,48.88,90,1,5.21,Clear Sky
250,Ulaanbaatar,MN,47.91,106.88,37.53,93,0,0.0,Clear Sky
251,Rioja,AR,-29.41,-66.85,74.44,16,0,7.2,Clear Sky
252,Pachuca,MX,20.12,-98.73,72.55,42,88,11.14,Overcast Clouds
253,Arlit,NE,18.74,7.39,100.9,14,55,9.17,Broken Clouds
254,Buritis,BR,-15.62,-46.42,81.16,31,0,8.48,Clear Sky
255,San Patricio,US,28.02,-97.52,91.29,51,100,10.85,Overcast Clouds
256,Half Moon Bay,US,37.46,-122.43,83.05,64,0,18.41,Clear Sky
257,Cherskiy,RU,68.75,161.3,37.56,87,100,4.21,Overcast Clouds
258,Homer,US,59.64,-151.55,55.29,78,100,5.99,Light Rain
259,Avera,US,33.19,-82.53,91.54,43,61,1.77,Broken Clouds
260,General Higinio Morinigo,PY,-25.95,-55.92,75.99,44,0,7.07,Clear Sky
261,Petrovskoye,RU,57.01,39.27,51.46,70,78,13.47,Broken Clouds
262,Jiayuguan,CN,39.82,98.3,65.21,36,30,2.37,Scattered Clouds
263,Broome,US,42.25,-75.83,78.62,52,75,10.36,Broken Clouds
264,Solnechnyy,RU,50.72,136.63,52.16,97,12,4.27,Few Clouds
